batch	expt
OEL17_N710_S505	Y10	K5ERRY_7DPI
OEL19_N728_S505	Y12A	K5ERRY_14DPI
OEL18_N719_S517	Y11	K5ERRY_7DPI
OEL17_N705_S502	Y10	K5ERRY_7DPI
OEL19_N728_S510	Y12A	K5ERRY_14DPI
OEL20_N702_S520	Y12A	K5ERRY_14DPI
OEL17_N705_S508	Y10	K5ERRY_7DPI
OEL17_N704_S502	Y10	K5ERRY_7DPI
OEL17_N714_S508	Y11	K5ERRY_7DPI
OEL19_N729_S506	Y12A	K5ERRY_14DPI
OEL20_N705_S518	Y12B	K5ERRY_14DPI
OEL17_N703_S503	Y10	K5ERRY_7DPI
OEL20_N704_S513	Y12B	K5ERRY_14DPI
OEL17_N712_S502	Y11	K5ERRY_7DPI
OEL17_N703_S505	Y10	K5ERRY_7DPI
OEL20_N706_S520	Y12B	K5ERRY_14DPI
OEL17_N711_S511	Y11	K5ERRY_7DPI
OEL20_N711_S516	Y12B	K5ERRY_14DPI
OEL20_N705_S517	Y12B	K5ERRY_14DPI
OEL20_N702_S515	Y12A	K5ERRY_14DPI
OEL17_N703_S510	Y10	K5ERRY_7DPI
OEL19_N727_S508	Y12A	K5ERRY_14DPI
OEL17_N710_S506	Y10	K5ERRY_7DPI
OEL19_N727_S502	Y12A	K5ERRY_14DPI
OEL19_N728_S507	Y12A	K5ERRY_14DPI
OEL20_N705_S521	Y12B	K5ERRY_14DPI
OEL18_N719_S515	Y11	K5ERRY_7DPI
OEL19_N728_S511	Y12A	K5ERRY_14DPI
OEL18_N716_S516	Y11	K5ERRY_7DPI
OEL18_N718_S515	Y11	K5ERRY_7DPI
OEL17_N710_S502	Y10	K5ERRY_7DPI
OEL17_N714_S502	Y11	K5ERRY_7DPI
OEL17_N707_S507	Y10	K5ERRY_7DPI
OEL17_N706_S507	Y10	K5ERRY_7DPI
OEL18_N718_S521	Y11	K5ERRY_7DPI
OEL20_N704_S520	Y12B	K5ERRY_14DPI
OEL19_N727_S507	Y12A	K5ERRY_14DPI
OEL17_N712_S511	Y11	K5ERRY_7DPI
OEL20_N707_S516	Y12B	K5ERRY_14DPI
OEL19_N728_S506	Y12A	K5ERRY_14DPI
OEL20_N705_S520	Y12B	K5ERRY_14DPI
OEL20_N707_S515	Y12B	K5ERRY_14DPI
OEL17_N706_S505	Y10	K5ERRY_7DPI
OEL20_N705_S513	Y12B	K5ERRY_14DPI
OEL19_N727_S511	Y12A	K5ERRY_14DPI
OEL17_N707_S503	Y10	K5ERRY_7DPI
OEL20_N706_S518	Y12B	K5ERRY_14DPI
OEL20_N704_S518	Y12B	K5ERRY_14DPI
OEL18_N718_S520	Y11	K5ERRY_7DPI
OEL20_N704_S521	Y12B	K5ERRY_14DPI
OEL19_N727_S506	Y12A	K5ERRY_14DPI
OEL17_N707_S505	Y10	K5ERRY_7DPI
OEL17_N702_S510	Y10	K5ERRY_7DPI
OEL17_N703_S508	Y10	K5ERRY_7DPI
OEL19_N729_S502	Y12A	K5ERRY_14DPI
OEL20_N706_S517	Y12B	K5ERRY_14DPI
OEL18_N716_S513	Y11	K5ERRY_7DPI
OEL20_N704_S517	Y12B	K5ERRY_14DPI
OEL19_N726_S511	Y12A	K5ERRY_14DPI
OEL19_N729_S507	Y12A	K5ERRY_14DPI
OEL20_N702_S516	Y12A	K5ERRY_14DPI
OEL17_N701_S505	Y10	K5ERRY_7DPI
OEL17_N704_S511	Y10	K5ERRY_7DPI
OEL20_N711_S515	Y12B	K5ERRY_14DPI
OEL20_N703_S521	Y12B	K5ERRY_14DPI
OEL17_N701_S506	Y10	K5ERRY_7DPI
OEL19_N729_S510	Y12A	K5ERRY_14DPI
OEL17_N701_S507	Y10	K5ERRY_7DPI
OEL17_N711_S502	Y11	K5ERRY_7DPI
OEL17_N701_S508	Y10	K5ERRY_7DPI
OEL23_N715_S503	Y13	K5ERRY_14DPI
OEL23_N710_S507	Y13	K5ERRY_14DPI
OEL23_N715_S502	Y13	K5ERRY_14DPI
OEL23_N710_S505	Y13	K5ERRY_14DPI
OEL23_N714_S510	Y13	K5ERRY_14DPI
OEL23_N714_S507	Y13	K5ERRY_14DPI
OEL23_N710_S510	Y13	K5ERRY_14DPI
OEL23_N710_S506	Y13	K5ERRY_14DPI
OEL23_N716_S511	Y13	K5ERRY_14DPI
OEL23_N710_S511	Y13	K5ERRY_14DPI
OEL23_N714_S506	Y13	K5ERRY_14DPI
OEL23_N712_S511	Y13	K5ERRY_14DPI
OEL23_N712_S505	Y13	K5ERRY_14DPI
OEL23_N716_S505	Y13	K5ERRY_14DPI
OEL23_N710_S502	Y13	K5ERRY_14DPI
OEL23_N714_S502	Y13	K5ERRY_14DPI
OEL23_N715_S510	Y13	K5ERRY_14DPI
OEL23_N712_S508	Y13	K5ERRY_14DPI
OEL23_N714_S503	Y13	K5ERRY_14DPI
OEL23_N710_S503	Y13	K5ERRY_14DPI
OEL23_N715_S506	Y13	K5ERRY_14DPI
OEL23_N711_S508	Y13	K5ERRY_14DPI
OEL23_N707_S507	Y13	K5ERRY_14DPI
OEL23_N716_S510	Y13	K5ERRY_14DPI
OEL23_N707_S511	Y13	K5ERRY_14DPI
OEL23_N715_S505	Y13	K5ERRY_14DPI
OEL23_N711_S505	Y13	K5ERRY_14DPI
OEL23_N711_S507	Y13	K5ERRY_14DPI
OEL23_N714_S511	Y13	K5ERRY_14DPI
OEL23_N712_S506	Y13	K5ERRY_14DPI
OEL23_N716_S506	Y13	K5ERRY_14DPI
OEL23_N711_S506	Y13	K5ERRY_14DPI
OEL23_N711_S510	Y13	K5ERRY_14DPI
OEL23_N707_S508	Y13	K5ERRY_14DPI
OEL23_N707_S510	Y13	K5ERRY_14DPI
OEL23_N715_S508	Y13	K5ERRY_14DPI
OEL23_N711_S511	Y13	K5ERRY_14DPI
OEL23_N712_S507	Y13	K5ERRY_14DPI
OEL23_N712_S510	Y13	K5ERRY_14DPI
OEL23_N707_S505	Y13	K5ERRY_14DPI
OEL23_N711_S502	Y13	K5ERRY_14DPI
OEL23_N714_S505	Y13	K5ERRY_14DPI
OEL23_N712_S502	Y13	K5ERRY_14DPI
OEL23_N716_S503	Y13	K5ERRY_14DPI
OEL23_N718_S505	Y13	K5ERRY_14DPI
OEL23_N718_S503	Y13	K5ERRY_14DPI
OEL23_N715_S511	Y13	K5ERRY_14DPI
OEL23_N712_S503	Y13	K5ERRY_14DPI
OEL23_N715_S507	Y13	K5ERRY_14DPI
OEL23_N711_S503	Y13	K5ERRY_14DPI
OEL23_N707_S503	Y13	K5ERRY_14DPI
OEL23_N710_S508	Y13	K5ERRY_14DPI
OEL23_N714_S508	Y13	K5ERRY_14DPI
