batch	expt
JNRF04_N722_S520	Y03	K5ERRY_96HPI
JNRF04_N723_S513	Y03	K5ERRY_96HPI
JNRF04_N728_S513	Y04	K5ERRY_UI
JNRF04_N719_S515	Y03	K5ERRY_96HPI
JNRF04_N718_S513	Y03	K5ERRY_96HPI
JNRF04_N729_S515	Y04	K5ERRY_UI
JNRF04_N716_S517	Y03	K5ERRY_96HPI
JNRF04_N727_S518	Y04	K5ERRY_UI
JNRF04_N718_S517	Y03	K5ERRY_96HPI
JNRF04_N716_S513	Y03	K5ERRY_96HPI
JNRF04_N723_S517	Y03	K5ERRY_96HPI
JNRF04_N726_S520	Y04	K5ERRY_UI
JNRF04_N719_S522	Y03	K5ERRY_96HPI
JNRF04_N721_S520	Y03	K5ERRY_96HPI
JNRF04_N716_S516	Y03	K5ERRY_96HPI
JNRF04_N720_S515	Y03	K5ERRY_96HPI
JNRF04_N718_S518	Y03	K5ERRY_96HPI
JNRF04_N721_S515	Y03	K5ERRY_96HPI
JNRF04_N716_S521	Y03	K5ERRY_96HPI
JNRF04_N723_S518	Y03	K5ERRY_96HPI
JNRF04_N722_S522	Y03	K5ERRY_96HPI
JNRF04_N726_S515	Y04	K5ERRY_UI
JNRF04_N729_S516	Y04	K5ERRY_UI
JNRF04_N718_S520	Y03	K5ERRY_96HPI
JNRF04_N720_S517	Y03	K5ERRY_96HPI
JNRF04_N724_S517	Y03	K5ERRY_96HPI
JNRF04_N719_S521	Y03	K5ERRY_96HPI
JNRF04_N722_S513	Y03	K5ERRY_96HPI
JNRF04_N723_S520	Y03	K5ERRY_96HPI
JNRF04_N728_S520	Y04	K5ERRY_UI
JNRF04_N719_S516	Y03	K5ERRY_96HPI
JNRF04_N721_S517	Y03	K5ERRY_96HPI
JNRF04_N716_S522	Y03	K5ERRY_96HPI
JNRF04_N729_S513	Y04	K5ERRY_UI
JNRF04_N718_S515	Y03	K5ERRY_96HPI
JNRF04_N722_S521	Y03	K5ERRY_96HPI
JNRF04_N720_S518	Y03	K5ERRY_96HPI
JNRF04_N719_S513	Y03	K5ERRY_96HPI
JNRF04_N721_S518	Y03	K5ERRY_96HPI
JNRF04_N726_S518	Y04	K5ERRY_UI
JNRF04_N722_S516	Y03	K5ERRY_96HPI
JNRF04_N728_S515	Y04	K5ERRY_UI
JNRF04_N723_S515	Y03	K5ERRY_96HPI
OEL08_N702_S516	Y06	K5ERRY_48HPI
OEL05_N728_S502	Y05A	K5ERRY_24HPI
OEL08_N715_S515	Y07A	K5ERRY_48HPI
OEL05_N727_S506	Y05A	K5ERRY_24HPI
OEL08_N706_S522	Y06	K5ERRY_48HPI
OEL05_N726_S503	Y05A	K5ERRY_24HPI
OEL08_N714_S516	Y07A	K5ERRY_48HPI
OEL08_N711_S522	Y07A	K5ERRY_48HPI
OEL05_N723_S502	Y05A	K5ERRY_24HPI
OEL05_N719_S505	Y04	K5ERRY_UI
OEL08_N701_S522	Y06	K5ERRY_48HPI
OEL05_N721_S503	Y05A	K5ERRY_24HPI
OEL05_N719_S511	Y04	K5ERRY_UI
OEL08_N704_S518	Y06	K5ERRY_48HPI
OEL08_N710_S522	Y06	K5ERRY_48HPI
OEL06_N704_S517	Y05B	K5ERRY_24HPI
OEL05_N720_S503	Y04	K5ERRY_UI
OEL05_N718_S502	Y03	K5ERRY_96HPI
OEL08_N702_S521	Y06	K5ERRY_48HPI
OEL05_N724_S503	Y05A	K5ERRY_24HPI
OEL08_N714_S521	Y07A	K5ERRY_48HPI
OEL08_N707_S518	Y06	K5ERRY_48HPI
OEL08_N712_S515	Y07A	K5ERRY_48HPI
OEL06_N703_S522	Y05B	K5ERRY_24HPI
OEL05_N729_S508	Y05B	K5ERRY_24HPI
OEL08_N704_S517	Y06	K5ERRY_48HPI
OEL06_N705_S522	Y05B	K5ERRY_24HPI
OEL08_N703_S522	Y06	K5ERRY_48HPI
OEL05_N718_S506	Y03	K5ERRY_96HPI
OEL08_N702_S513	Y06	K5ERRY_48HPI
OEL08_N715_S520	Y07A	K5ERRY_48HPI
OEL08_N714_S513	Y07A	K5ERRY_48HPI
OEL05_N722_S511	Y05A	K5ERRY_24HPI
OEL06_N706_S522	Y05B	K5ERRY_24HPI
OEL06_N702_S516	Y05B	K5ERRY_24HPI
OEL05_N728_S506	Y05A	K5ERRY_24HPI
OEL08_N712_S520	Y07A	K5ERRY_48HPI
OEL05_N720_S507	Y05A	K5ERRY_24HPI
OEL08_N707_S517	Y06	K5ERRY_48HPI
OEL06_N701_S522	Y05B	K5ERRY_24HPI
OEL05_N723_S506	Y05A	K5ERRY_24HPI
OEL08_N705_S521	Y06	K5ERRY_48HPI
OEL08_N702_S522	Y06	K5ERRY_48HPI
OEL05_N728_S503	Y05A	K5ERRY_24HPI
OEL08_N703_S513	Y06	K5ERRY_48HPI
OEL05_N723_S503	Y05A	K5ERRY_24HPI
OEL08_N714_S522	Y07A	K5ERRY_48HPI
OEL08_N715_S518	Y07A	K5ERRY_48HPI
OEL08_N711_S516	Y06	K5ERRY_48HPI
OEL06_N707_S520	Y05B	K5ERRY_24HPI
OEL08_N701_S516	Y06	K5ERRY_48HPI
OEL05_N721_S502	Y05A	K5ERRY_24HPI
OEL08_N704_S515	Y06	K5ERRY_48HPI
OEL06_N705_S513	Y05B	K5ERRY_24HPI
OEL06_N710_S513	Y05B	K5ERRY_24HPI
OEL08_N705_S516	Y06	K5ERRY_48HPI
OEL08_N712_S518	Y07A	K5ERRY_48HPI
OEL05_N727_S507	Y05A	K5ERRY_24HPI
OEL05_N724_S502	Y05A	K5ERRY_24HPI
OEL05_N720_S502	Y04	K5ERRY_UI
OEL08_N707_S515	Y06	K5ERRY_48HPI
OEL05_N718_S503	Y03	K5ERRY_96HPI
OEL08_N706_S521	Y06	K5ERRY_48HPI
OEL06_N701_S513	Y05B	K5ERRY_24HPI
OEL08_N711_S521	Y07A	K5ERRY_48HPI
OEL08_N701_S521	Y06	K5ERRY_48HPI
OEL06_N703_S516	Y05B	K5ERRY_24HPI
OEL08_N710_S521	Y06	K5ERRY_48HPI
OEL06_N705_S516	Y05B	K5ERRY_24HPI
OEL08_N704_S520	Y06	K5ERRY_48HPI
OEL08_N710_S513	Y06	K5ERRY_48HPI
OEL06_N707_S515	Y05B	K5ERRY_24HPI
OEL08_N703_S516	Y06	K5ERRY_48HPI
OEL05_N728_S507	Y05A	K5ERRY_24HPI
OEL05_N720_S506	Y04	K5ERRY_UI
OEL05_N724_S506	Y05A	K5ERRY_24HPI
OEL08_N711_S513	Y06	K5ERRY_48HPI
OEL08_N715_S517	Y07A	K5ERRY_48HPI
OEL08_N706_S513	Y06	K5ERRY_48HPI
OEL06_N706_S516	Y05B	K5ERRY_24HPI
OEL05_N721_S506	Y05A	K5ERRY_24HPI
OEL06_N702_S522	Y05B	K5ERRY_24HPI
OEL06_N705_S521	Y05B	K5ERRY_24HPI
OEL06_N703_S513	Y05B	K5ERRY_24HPI
OEL05_N718_S507	Y03	K5ERRY_96HPI
OEL08_N712_S517	Y07A	K5ERRY_48HPI
OEL08_N703_S521	Y06	K5ERRY_48HPI
OEL05_N727_S503	Y05A	K5ERRY_24HPI
OEL08_N705_S513	Y06	K5ERRY_48HPI
OEL06_N710_S516	Y05B	K5ERRY_24HPI
OEL06_N701_S516	Y05B	K5ERRY_24HPI
OEL05_N726_S506	Y05A	K5ERRY_24HPI
OEL06_N706_S518	Y05B	K5ERRY_24HPI
